"Index","earning_a","earning_u","gnp_a","pricedef_a","unemp_a","earningdefl_a"
"2002-01-01",15.0066666666667,15.07,13462.072,80.506,5.03333333333333,18.6404325971563
"2002-04-01",15.1466666666667,15.1366666666667,13519.534,80.795,5.16666666666667,18.7470346762382
"2002-07-01",15.27,15.2233333333333,13595.914,81.168,5.2,18.8128326434063
"2002-10-01",15.3866666666667,15.3866666666667,13635.313,81.628,5.13333333333333,18.8497411019095
"2003-01-01",15.53,15.5933333333333,13690.909,82.001,5.3,18.9387934293484
"2003-04-01",15.6333333333333,15.6233333333333,13823.092,82.241,5.33333333333333,19.0091722295854
"2003-07-01",15.7233333333333,15.6666666666667,14055.144,82.687,5.53333333333333,19.015484094638
"2003-10-01",15.8133333333333,15.8133333333333,14246.699,83.175,5.46666666666667,19.0121230337642
"2004-01-01",15.9233333333333,15.9766666666667,14343.272,83.795,5.16666666666667,19.0027249040317
"2004-04-01",16.0133333333333,16.01,14420.669,84.479,5.06666666666667,18.9554011450577
"2004-07-01",16.1,16.05,14567.478,85.031,5,18.9342710305653
"2004-10-01",16.2533333333333,16.26,14680.605,85.687,4.8,18.9682604517994
"2005-01-01",16.3433333333333,16.4,14879.87,86.366,4.73333333333333,18.9233417471381
"2005-04-01",16.4466666666667,16.4366666666667,14933.331,86.971,4.63333333333333,18.9105180654088
"2005-07-01",16.5466666666667,16.5033333333333,15075.575,87.758,4.46666666666667,18.8548812264029
"2005-10-01",16.6366666666667,16.6433333333333,15135.398,88.465,4.4,18.8059307824187
"2006-01-01",16.6866666666667,16.74,15337.163,89.082,4.3,18.7318051533044
"2006-04-01",16.7233333333333,16.71,15366.09,89.827,4.16666666666667,18.6172680077631
"2006-07-01",16.7766666666667,16.7333333333333,15374.468,90.456,4.13333333333333,18.5467704371923
"2006-10-01",16.8566666666667,16.8633333333333,15516.768,90.789,3.96666666666667,18.5668601555989
"2007-01-01",16.9733333333333,17.0366666666667,15554.96,91.68,4,18.5136707388016
"2007-04-01",17.1166666666667,17.1133333333333,15667.523,92.272,3.93333333333333,18.5502283105023
"2007-07-01",17.27,17.2366666666667,15813.506,92.747,4.03333333333333,18.6205483735323
"2007-10-01",17.36,17.3566666666667,15957.211,93.12,4.13333333333333,18.6426116838488
"2008-01-01",17.46,17.5033333333333,15847.877,93.468,4.33333333333333,18.6801900115548
"2008-04-01",17.61,17.6133333333333,15931.569,93.974,4.43333333333333,18.7392257432907
"2008-07-01",17.7466666666667,17.7066666666667,15864.097,94.68,4.93333333333333,18.7438388959301
"2008-10-01",17.8433333333333,17.8266666666667,15442.668,94.968,5.63333333333333,18.7887849942437
"2009-01-01",17.9866666666667,18.0233333333333,15281.315,94.963,6.7,18.9407102415327
"2009-04-01",18.1266666666667,18.1266666666667,15257.271,94.829,8.06666666666667,19.1151089504969
"2009-07-01",18.1966666666667,18.1633333333333,15370.646,94.933,8.76666666666667,19.1679043816867
"2009-10-01",18.3733333333333,18.3533333333333,15528.249,95.257,9.1,19.2881712979973
"2010-01-01",18.4233333333333,18.46,15619.326,95.493,9.16666666666667,19.292862653109
"2010-04-01",18.4833333333333,18.4933333333333,15762.241,95.934,9.23333333333333,19.2667180909097
"2010-07-01",18.5933333333333,18.5566666666667,15870.339,96.211,8.86666666666667,19.3255795421868
"2010-10-01",18.6966666666667,18.6766666666667,15963.636,96.753,8.8,19.3241208713597
